"GEOID","SUFFIX","COUNT","TOTAL_ROADS","PCT"
28005,"RD",355,661,53.71
28007,"RD",162,414,39.13
28009,"RD",355,524,67.75
28011,"RD",599,1507,39.75
28013,"ST",188,491,38.29
28015,"RD",203,317,64.04
28017,"ST",158,335,47.16
28019,"RD",449,597,75.21
28021,"RD",268,470,57.02
28023,"ST",142,449,31.63
28025,"RD",455,850,53.53
28027,"RD",370,939,39.4
28029,"LN",505,1357,37.21
28031,"RD",502,1149,43.69
28033,"DR",1511,4142,36.48
28035,"RD",631,2476,25.48
28037,"RD",284,400,71
28039,"RD",678,1292,52.48
28041,"RD",630,1137,55.41
28043,"RD",529,1076,49.16
28045,"ST",926,2562,36.14
28047,"DR",1402,6052,23.17
28049,"DR",1478,5239,28.21
28051,"RD",505,954,52.94
28053,"RD",388,623,62.28
28055,"RD",188,210,89.52
28057,"RD",857,1278,67.06
28059,"RD",1042,4162,25.04
28061,"ST",69,210,32.86
28063,"RD",382,547,69.84
28065,"RD",414,985,42.03
28067,"RD",1286,2619,49.1
28069,"RD",788,916,86.03
28071,"DR",285,975,29.23
28073,"RD",851,2459,34.61
28075,"RD",705,2072,34.03
28077,"LN",365,926,39.42
28079,"RD",608,889,68.39
28081,"DR",768,2317,33.15
28083,"ST",324,796,40.7
28085,"ST",191,376,50.8
28087,"RD",664,1962,33.84
28089,"DR",723,3319,21.78
28091,"LN",416,1227,33.9
28093,"RD",543,1182,45.94
28095,"RD",493,1468,33.58
28097,"RD",268,569,47.1
28099,"RD",131,467,28.05
28101,"RD",512,887,57.72
28103,"RD",370,606,61.06
28105,"RD",574,1454,39.48
28107,"RD",652,1214,53.71
28109,"RD",1250,3333,37.5
28111,"RD",486,900,54
28113,"RD",495,1545,32.04
28115,"RD",303,1003,30.21
28117,"ST",181,510,35.49
28119,"RD",405,625,64.8
28121,"DR",1267,4627,27.38
28123,"RD",566,1004,56.37
28125,"RD",199,335,59.4
28127,"RD",993,1942,51.13
28129,"ST",84,260,32.31
28131,"RD",568,953,59.6
28133,"RD",540,1165,46.35
28135,"RD",326,737,44.23
28137,"RD",439,873,50.29
28139,"ST",138,333,41.44
28141,"ST",188,584,32.19
28143,"RD",279,509,54.81
28145,"DR",120,472,25.42
28147,"RD",576,724,79.56
28149,"DR",430,1646,26.12
28151,"ST",609,1644,37.04
28153,"DR",512,1135,45.11
28155,"RD",345,520,66.35
28157,"LN",210,594,35.35
28159,"RD",594,841,70.63
28161,"RD",227,567,40.04
28163,"RD",404,998,40.48
29001,"ST",373,1192,31.29
29003,"ST",238,443,53.72
29005,"ST",393,618,63.59
29007,"ST",406,605,67.11
29009,"RD",358,1325,27.02
29011,"RD",249,753,33.07
29013,"ST",410,917,44.71
29015,"RD",738,2785,26.5
29017,"ST",103,184,55.98
29019,"DR",1349,4529,29.79
29021,"ST",877,2132,41.14
29023,"LN",379,1299,29.18
29025,"DR",294,864,34.03
29027,"DR",390,1447,26.95
29029,"DR",1653,5441,30.38
29031,"LN",760,2495,30.46
29033,"ST",268,355,75.49
29035,"ST",103,288,35.76
29037,"ST",1578,4263,37.02
29039,"RD",1171,1587,73.79
29041,"RD",350,1050,33.33
29043,"RD",904,3487,25.92
29045,"ST",228,301,75.75
29047,"ST",2649,7570,34.99
29049,"ST",449,1033,43.47
29051,"DR",581,2286,25.42
29053,"ST",192,783,24.52
29055,"RD",470,1230,38.21
29057,"ST",187,307,60.91
29059,"RD",411,1147,35.83
29061,"ST",591,1120,52.77
29063,"RD",416,728,57.14
29065,"ST",170,295,57.63
29067,"AVE",79,229,34.5
29069,"ST",703,1123,62.6
29071,"DR",1239,4616,26.84
29073,"RD",404,900,44.89
29075,"ST",485,848,57.19
29077,"ST",2011,6755,29.77
29079,"ST",550,965,56.99
29081,"ST",509,1037,49.08
29083,"RD",795,1387,57.32
29085,"ST",105,355,29.58
29087,"ST",189,475,39.79
29089,"ST",185,305,60.66
29091,"ST",376,857,43.87
29093,"RD",215,557,38.6
29095,"ST",5482,17581,31.18
29097,"ST",1191,3798,31.36
29099,"DR",3193,8459,37.75
29101,"RD",1197,2022,59.2
29103,"ST",129,164,78.66
29105,"DR",445,1405,31.67
29107,"ST",589,1541,38.22
29109,"ST",497,987,50.35
29111,"ST",513,752,68.22
29113,"DR",692,2669,25.93
29115,"ST",414,1083,38.23
29117,"ST",300,471,63.69
29119,"RD",591,1643,35.97
29121,"ST",588,1231,47.77
29123,"ST",108,226,47.79
29125,"ST",61,162,37.65
29127,"ST",380,835,45.51
29129,"ST",262,659,39.76
29131,"RD",777,1514,51.32
29133,"ST",353,669,52.77
29135,"RD",365,814,44.84
29137,"ST",195,262,74.43
29139,"RD",453,1098,41.26
29141,"RD",1040,2209,47.08
29143,"ST",398,785,50.7
29145,"LN",715,2626,27.23
29147,"ST",896,1457,61.5
29149,"ST",135,231,58.44
29151,"LN",413,836,49.4
29153,"DR",124,333,37.24
29155,"ST",363,603,60.2
29157,"LN",265,683,38.8
29159,"RD",567,1370,41.39
29161,"RD",341,1266,26.94
29163,"ST",332,542,61.25
29165,"ST",1007,4021,25.04
29167,"RD",1176,1839,63.95
29169,"LN",466,1743,26.74
29171,"ST",251,623,40.29
29173,"RD",177,896,19.75
29175,"ST",353,602,58.64
29177,"ST",605,1310,46.18
29179,"ST",69,187,36.9
29181,"ST",125,220,56.82
29183,"DR",4007,10731,37.34
29185,"RD",630,939,67.09
29186,"RD",274,868,31.57
29187,"ST",802,2819,28.45
29189,"DR",8281,22139,37.4
29195,"AVE",396,1576,25.13
29197,"ST",181,403,44.91
29199,"ST",126,293,43
29201,"ST",535,1331,40.2
29203,"ST",119,286,41.61
29205,"ST",224,305,73.44
29207,"ST",515,1176,43.79
29209,"LN",1013,2856,35.47
29211,"RD",338,824,41.02
29213,"RD",899,3055,29.43
29215,"RD",424,1343,31.57
29217,"RD",1560,2317,67.33
29219,"DR",687,2141,32.09
29221,"RD",982,1659,59.19
29223,"ST",195,499,39.08
29225,"RD",538,1674,32.14
29227,"ST",137,252,54.37
29229,"RD",411,1091,37.67
29510,"AVE",1439,3169,45.41
30001,"RD",532,1019,52.21
30003,"RD",326,631,51.66
30005,"RD",462,693,66.67
30007,"RD",283,583,48.54
30009,"RD",619,1434,43.17
30011,"RD",273,351,77.78
30013,"RD",434,1376,31.54
30015,"RD",510,874,58.35
30017,"ST",175,507,34.52
30019,"RD",234,316,74.05
30021,"ST",117,342,34.21
30023,"RD",183,478,38.28
30025,"RD",84,236,35.59
30027,"RD",441,1073,41.1
30029,"RD",1139,4073,27.96
30031,"RD",1250,4507,27.73
30033,"RD",176,233,75.54
30035,"RD",336,515,65.24
30037,"RD",135,191,70.68
30039,"RD",390,874,44.62
30041,"RD",236,569,41.48
30043,"RD",580,1223,47.42
30045,"RD",426,599,71.12
30047,"LN",819,2027,40.4
30049,"RD",879,2836,30.99
30051,"RD",152,216,70.37
30053,"RD",1023,2022,50.59
30055,"RD",175,296,59.12
30057,"RD",573,1281,44.73
30059,"RD",228,408,55.88
30061,"RD",286,590,48.47
30063,"RD",879,3740,23.5
30065,"RD",295,459,64.27
30067,"RD",560,1353,41.39
30069,"RD",72,115,62.61
30071,"RD",213,370,57.57
30073,"RD",401,602,66.61
30075,"RD",258,348,74.14
30077,"RD",498,880,56.59
30079,"RD",95,186,51.08
30081,"LN",879,2851,30.83
30083,"ST",54,139,38.85
30085,"ST",111,351,31.62
30087,"RD",343,685,50.07
30089,"RD",594,1597,37.19
30091,"RD",265,503,52.68
30093,"ST",512,1589,32.22
30095,"RD",497,859,57.86
30097,"RD",176,322,54.66
30099,"RD",147,223,65.92
30101,"RD",307,535,57.38
30103,"RD",90,122,73.77
30105,"RD",512,842,60.81
30107,"RD",196,316,62.03
30109,"RD",83,121,68.6
30111,"DR",929,4349,21.36
31001,"AVE",415,996,41.67
31003,"RD",265,752,35.24
31005,"RD",47,92,51.09
31007,"RD",19,33,57.58
31009,"RD",54,102,52.94
31011,"ST",399,651,61.29
31013,"ST",130,434,29.95
31015,"RD",170,451,37.69
31017,"ST",114,196,58.16
31019,"RD",548,1728,31.71
31021,"ST",190,300,63.33
31023,"ST",255,450,56.67
31025,"ST",576,1238,46.53
31027,"AVE",260,706,36.83
31029,"AVE",160,484,33.06
31031,"RD",230,546,42.12
31033,"ST",156,336,46.43
31035,"ST",267,397,67.25
31037,"ST",218,293,74.4
31039,"ST",183,401,45.64
31041,"RD",406,867,46.83
31043,"ST",358,666,53.75
31045,"RD",249,453,54.97
31047,"ST",331,569,58.17
31049,"ST",44,69,63.77
31051,"AVE",244,650,37.54
31053,"ST",474,952,49.79
31055,"ST",5569,11868,46.92
31057,"RD",73,195,37.44
31059,"ST",229,339,67.55
31061,"RD",357,540,66.11
31063,"ST",98,214,45.79
31065,"ST",189,235,80.43
31067,"ST",518,1188,43.6
31069,"ST",52,87,59.77
31071,"AVE",102,235,43.4
31073,"ST",24,78,30.77
31075,"LN",65,155,41.94
31077,"AVE",153,419,36.52
31079,"ST",501,1489,33.65
31081,"RD",211,475,44.42
31083,"RD",424,683,62.08
31085,"ST",26,58,44.83
31087,"ST",104,181,57.46
31089,"RD",483,1185,40.76
31091,"AVE",32,77,41.56
31093,"AVE",180,542,33.21
31095,"ST",196,516,37.98
31097,"RD",137,402,34.08
31099,"RD",167,438,38.13
31101,"ST",228,526,43.35
31103,"RD",110,277,39.71
31105,"ST",148,189,78.31
31107,"AVE",348,993,35.05
31109,"ST",2905,6599,44.02
31111,"RD",882,1746,50.52
31113,"ST",26,62,41.94
31115,"RD",74,158,46.84
31117,"RD",57,104,54.81
31119,"ST",365,1130,32.3
31121,"RD",280,552,50.72
31123,"ST",122,164,74.39
31125,"ST",349,724,48.2
31127,"ST",211,544,38.79
31129,"ST",199,233,85.41
31131,"RD",349,796,43.84
31133,"ST",158,414,38.16
31135,"ST",47,140,33.57
31137,"RD",174,383,45.43
31139,"ST",209,579,36.1
31141,"ST",533,1242,42.91
31143,"ST",129,260,49.62
31145,"ST",201,322,62.42
31147,"ST",268,878,30.52
31149,"RD",127,324,39.2
31151,"ST",291,507,57.4
31153,"ST",1665,4511,36.91
31155,"ST",469,810,57.9
31157,"ST",376,1217,30.9
31159,"ST",269,580,46.38
31161,"RD",308,905,34.03
31163,"RD",275,656,41.92
31165,"RD",259,283,91.52
31167,"RD",166,422,39.34
31169,"ST",217,322,67.39
31171,"ST",40,121,33.06
31173,"RD",183,544,33.64
31175,"RD",219,609,35.96
31177,"LN",288,872,33.03
31179,"ST",140,365,38.36
31181,"ST",139,219,63.47
31183,"AVE",88,195,45.13
31185,"ST",209,493,42.39
32001,"RD",274,967,28.34
32003,"ST",11390,52271,21.79
32005,"CT",446,2025,22.02
32007,"ST",530,2387,22.2
32009,"RD",106,243,43.62
32011,"ST",139,329,42.25
32013,"RD",488,1351,36.12
32015,"RD",157,503,31.21
32017,"RD",354,656,53.96
32019,"ST",413,2376,17.38
32021,"RD",183,505,36.24
32023,"ST",1047,3819,27.42
32027,"RD",333,621,53.62
32029,"RD",158,271,58.3
32031,"CT",2656,10616,25.02
